child,comp[T.WH],embpred[T.True],embsubj[T.True],embtense[T.TENSED],embtense[T.TO],itr,obj[T.True],prep1[T.True],verb
andy,0.000767337515713229,0.27339302473819493,0.0237854010808336,0.023785393250844278,0.023229659788104096,0,0.19932575767177374,0.18027915176828813,play
andy,0.000854168573693026,0.31616702372003846,0.06834961332219192,0.0683496028837014,0.03129486417151328,0,0.20317879909386716,0.17742570296150895,pop
andy,0.0014537195377054557,0.23357023647771635,0.06060886132829102,0.06060885492024515,0.07373167290565574,0,0.35635223760763435,0.3050720724404149,pretend
andy,0.0008307042020945232,0.3156493672258206,0.058075869904122945,0.058075860052311024,0.03723547743863098,0,0.22111604093189574,0.1909758517680482,price
andy,0.001349151424950512,0.09419696900046137,0.009095484069512438,0.009095486904609262,0.005655780719782677,0,0.2780639479567323,0.27396618456136657,put
andy,0.0021099405454664266,0.27939222773307504,0.06676941535026859,0.06676941160461525,0.0644812343393053,0,0.45739011161090404,0.4199654039434496,read
andy,0.0075149430740298895,0.6525401581359664,0.4857313989743649,0.4857313835495729,0.36377808533357336,0,0.9331315217974057,0.8948396037641435,realize
andy,0.0029409663457730106,0.23595646611631005,0.04242987242645546,0.042429877003140715,0.06834639311825041,0,0.6001398433075328,0.5707893969583622,rebel
andy,0.00035878121233912097,0.33624761841003314,0.30327752561544186,0.30327751453346596,0.00840255244402277,0,0.06281780485117183,0.05488454276946453,remember
andy,0.0004982989854621644,0.3504235755395947,0.04602035746658728,0.046020344485551146,0.02413924187887795,0,0.12953196381379273,0.1079936146415581,rhyme
andy,0.0011219007436309436,0.35560681793272875,0.05594947133214623,0.05594945927213513,0.048548403371736826,0,0.262493342862416,0.22483771268787245,run
andy,0.0014196592116478834,0.35388829168085745,0.07065979584707549,0.07065978615771118,0.03729212500341139,0,0.31017482320226686,0.283443863541878,say
andy,0.0034137615590786874,0.3573021128126994,0.04248272590821167,0.042482726729283105,0.07571939210869205,0,0.6464908317727719,0.617515762212389,scoop
andy,0.0001656858467422584,0.24158405167873498,0.015047686922478265,0.015047677738315723,0.0070118923623779805,0,0.042280130578871034,0.03552173515471202,screw
andy,0.002324964616183145,0.29001711211099646,0.2483606248039868,0.2483606113500778,0.0027320295886904544,0,0.126660924827099,0.12428273814426638,see
andy,0.0010598397516126123,0.21025005546997066,0.047188274606246305,0.047188268054595084,0.039460463599041096,0,0.23364043888188923,0.20213517003154113,seem
andy,0.0008622525809288684,0.31541422863624224,0.02442517000603217,0.02442515945114021,0.034811610385549696,0,0.21456906097635353,0.1862262269281193,sell
andy,0.0013209965132150447,0.25466662829228703,0.037929525136973896,0.03792951807333078,0.0528054499577888,0,0.310057769091603,0.27156580255782004,send
andy,0.001969164312236593,0.3098988674655767,0.08716290788479386,0.0871628989826031,0.08442298350623256,0,0.4346330164039395,0.38245814007826284,shrivel
